EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	13:03:50	0	0.1000	5.540489213943482	4.242084980010986		0.9506
2	13:04:31	0	0.1000	4.439323689460754	3.4544708728790283		0.9556
3	13:05:12	1	0.1000	4.226544836044312	3.3739895820617676		0.9527
4	13:05:51	0	0.1000	4.037382613182068	3.2287330627441406		0.9562
5	13:06:32	0	0.1000	3.879882339954376	3.1589064598083496		0.9574
6	13:07:14	1	0.1000	3.811007610321045	3.099088668823242		0.9567
7	13:07:52	0	0.1000	3.705220994949341	2.8477814197540283		0.9585
8	13:08:33	0	0.1000	3.586577889919281	2.928978681564331		0.959
9	13:09:15	0	0.1000	3.5203007607460024	2.6670784950256348		0.9615
10	13:09:56	1	0.1000	3.434710748195648	2.7050282955169678		0.9605
11	13:10:34	2	0.1000	3.3823063921928407	2.8638014793395996		0.961
12	13:11:13	0	0.1000	3.2997799334526063	2.513911247253418		0.9656
13	13:11:55	1	0.1000	3.2420181794166565	2.4848783016204834		0.9654
14	13:12:34	0	0.1000	3.2084613132476805	2.4238970279693604		0.966
15	13:13:15	0	0.1000	3.141331727027893	2.334299087524414		0.9669
16	13:13:56	0	0.1000	3.069264148235321	2.349883794784546		0.9671
17	13:14:37	0	0.1000	3.0374828104972837	2.225080966949463		0.9699
18	13:15:18	1	0.1000	2.9851787242889403	2.243541955947876		0.9684
19	13:15:56	2	0.1000	2.954391565322876	2.138275384902954		0.9697
20	13:16:35	0	0.1000	2.9217960166931154	2.1832754611968994		0.9699
21	13:17:16	1	0.1000	2.8423421812057494	2.480259656906128		0.9657
22	13:17:54	0	0.1000	2.843973315238953	2.1473281383514404		0.9713
23	13:18:36	0	0.1000	2.7899440174102783	2.061396360397339		0.9717
24	13:19:17	1	0.1000	2.7847295680046082	2.1183369159698486		0.97
25	13:19:56	2	0.1000	2.734421018123627	2.1114728450775146		0.9703
26	13:20:34	3	0.1000	2.695685082912445	2.1117727756500244		0.9697
27	13:21:13	0	0.1000	2.667616052150726	1.9822005033493042		0.9738
28	13:21:54	1	0.1000	2.632082036972046	2.305776834487915		0.966
29	13:22:33	2	0.1000	2.609762119293213	2.0700058937072754		0.9717
30	13:23:11	3	0.1000	2.6111383514404296	1.8941408395767212		0.9736
31	13:23:50	4	0.1000	2.5531862325668335	1.9527087211608887		0.9725
32	13:24:29	0	0.0500	2.478631303310394	1.8907105922698975		0.9738
33	13:25:14	0	0.0500	2.4160222191810607	1.7535772323608398		0.976
34	13:25:57	1	0.0500	2.4174496278762816	1.995726227760315		0.9735
35	13:26:38	2	0.0500	2.389139295101166	1.834632396697998		0.9753
36	13:27:19	3	0.0500	2.410535014152527	1.767694354057312		0.9759
37	13:28:00	4	0.0500	2.3480169258117676	1.7921936511993408		0.976
38	13:28:41	0	0.0250	2.3123288576602934	1.7542930841445923		0.9762
39	13:29:23	1	0.0250	2.325896802902222	1.882880449295044		0.9741
40	13:30:05	2	0.0250	2.3198718342781066	1.7852224111557007		0.9758
41	13:30:46	3	0.0250	2.312532075881958	1.778339147567749		0.9759
42	13:31:27	4	0.0250	2.26868275809288	1.8042258024215698		0.9754
43	13:32:07	1	0.0125	2.2692197303771975	1.7898746728897095		0.9757
44	13:32:48	0	0.0125	2.258470862150192	1.7597246170043945		0.9766
45	13:33:32	0	0.0125	2.2570172877311707	1.716670274734497		0.9772
46	13:34:16	1	0.0125	2.27709743642807	1.7236261367797852		0.9768
47	13:34:56	2	0.0125	2.2748538484573366	1.7450227737426758		0.9767
48	13:35:37	3	0.0125	2.252865054130554	1.7320207357406616		0.9767
49	13:36:17	4	0.0125	2.2475266003608705	1.7665481567382812		0.9764
50	13:36:57	1	0.0063	2.2336273708343506	1.7413901090621948		0.9769